n,set_type,heuristic_type,duration_seconds
5000,Linked,None,0.059000
5000,Linked,Weighted,0.001000
10000,Linked,None,0.267000
10000,Linked,Weighted,0.001000
7500,Linked,None,0.148000
7500,Linked,Weighted,0.001000
15000,Linked,None,0.646000
15000,Linked,Weighted,0.002000
10000,Linked,None,0.274000
10000,Linked,Weighted,0.001000
20000,Linked,None,1.184000
20000,Linked,Weighted,0.003000
12500,Linked,None,0.450000
12500,Linked,Weighted,0.002000
25000,Linked,None,1.825000
25000,Linked,Weighted,0.003000
15000,Linked,None,0.654000
15000,Linked,Weighted,0.002000
30000,Linked,None,2.641000
30000,Linked,Weighted,0.005000
17500,Linked,None,0.903000
17500,Linked,Weighted,0.003000
35000,Linked,None,3.680000
35000,Linked,Weighted,0.006000
20000,Linked,None,1.146000
20000,Linked,Weighted,0.003000
40000,Linked,None,4.888000
40000,Linked,Weighted,0.006000
22500,Linked,None,1.497000
22500,Linked,Weighted,0.003000
45000,Linked,None,6.275000
45000,Linked,Weighted,0.007000
25000,Linked,None,1.816000
25000,Linked,Weighted,0.003000
50000,Linked,None,8.106000
50000,Linked,Weighted,0.008000
27500,Linked,None,2.281000
27500,Linked,Weighted,0.004000
55000,Linked,None,9.399000
55000,Linked,Weighted,0.010000
30000,Linked,None,2.760000
30000,Linked,Weighted,0.005000
60000,Linked,None,11.828000
60000,Linked,Weighted,0.009000
32500,Linked,None,3.138000
32500,Linked,Weighted,0.005000
65000,Linked,None,14.019000
65000,Linked,Weighted,0.011000
35000,Linked,None,4.275000
35000,Linked,Weighted,0.006000
70000,Linked,None,16.807000
70000,Linked,Weighted,0.011000
37500,Linked,None,4.253000
37500,Linked,Weighted,0.007000
75000,Linked,None,19.270000
75000,Linked,Weighted,0.012000
40000,Linked,None,4.893000
40000,Linked,Weighted,0.006000
80000,Linked,None,21.187000
80000,Linked,Weighted,0.011000
42500,Linked,None,5.418000
42500,Linked,Weighted,0.006000
85000,Linked,None,25.745000
85000,Linked,Weighted,0.015000
45000,Linked,None,6.304000
45000,Linked,Weighted,0.007000
90000,Linked,None,31.094000
90000,Linked,Weighted,0.014000
47500,Linked,None,6.894000
47500,Linked,Weighted,0.008000
95000,Linked,None,36.747000
95000,Linked,Weighted,0.014000
50000,Linked,None,7.765000
50000,Linked,Weighted,0.008000
100000,Linked,None,42.087000
100000,Linked,Weighted,0.015000
5000,Linked,None,0.060000
5000,Linked,Weighted,0.001000
10000,Linked,None,0.275000
10000,Linked,Weighted,0.001000
7500,Linked,None,0.152000
7500,Linked,Weighted,0.001000
15000,Linked,None,0.604000
15000,Linked,Weighted,0.003000
10000,Linked,None,0.276000
10000,Linked,Weighted,0.002000
20000,Linked,None,1.154000
20000,Linked,Weighted,0.003000
12500,Linked,None,0.445000
12500,Linked,Weighted,0.002000
25000,Linked,None,2.029000
25000,Linked,Weighted,0.004000
15000,Linked,None,0.742000
15000,Linked,Weighted,0.003000
30000,Linked,None,3.032000
30000,Linked,Weighted,0.005000
17500,Linked,None,0.884000
17500,Linked,Weighted,0.002000
35000,Linked,None,3.862000
35000,Linked,Weighted,0.006000
20000,Linked,None,1.166000
20000,Linked,Weighted,0.003000
40000,Linked,None,4.781000
40000,Linked,Weighted,0.006000
22500,Linked,None,1.495000
22500,Linked,Weighted,0.004000
45000,Linked,None,6.483000
45000,Linked,Weighted,0.007000
25000,Linked,None,1.816000
25000,Linked,Weighted,0.004000
50000,Linked,None,7.985000
50000,Linked,Weighted,0.008000
27500,Linked,None,2.318000
27500,Linked,Weighted,0.004000
55000,Linked,None,9.852000
55000,Linked,Weighted,0.008000
30000,Linked,None,2.797000
